Pokemon Id,Pokedex Number,Pokemon Name,Classification,Alternate Form Name,Original Pokemon ID,Legendary Type,Pokemon Height,Pokemon Weight,Primary Type,Secondary Type,Primary Ability,Primary Ability Description,Secondary Ability,Secondary Ability Description,Hidden Ability,Hidden Ability Description,Special Event Ability,Special Event Ability Description,Male Ratio,Female Ratio,Base Happiness,Game(s) of Origin,Region of Origin,Health Stat,Attack Stat,Defense Stat,Special Attack Stat,Special Defense Stat,Speed Stat,Health EV,Attack EV,Defense EV,Special Attack EV,Special Defense EV,Speed EV,Catch Rate,Experience Growth,Experience Growth Total,Experience Yield,Primary Egg Group,Secondary Egg Group,Egg Cycle Count,Pre-Evolution Pokemon Id,Evolution Details
11,8,Wartortle,Turtle Pokemon,NULL,NULL,NULL,10,225,Water,NULL,Torrent,Powers up Watertype moves when the Pokémons HP is low,NULL,NULL,Rain Dish,The Pokémon gradually regains HP in rain,NULL,NULL,875,125,70,Red,Kanto,59,63,80,65,80,58,0,0,1,0,1,0,45,Medium Slow,1059860,142,Monster,Water 1,20,10,Level 16
12,9,Blastoise,Shellfish Pokemon,NULL,NULL,NULL,16,855,Water,NULL,Torrent,Powers up Watertype moves when the Pokémons HP is low,NULL,NULL,Rain Dish,The Pokémon gradually regains HP in rain,NULL,NULL,875,125,70,Red,Kanto,79,83,100,85,105,78,0,0,0,0,3,0,45,Medium Slow,1059860,239,Monster,Water 1,20,11,Level 32
13,9,Blastoise,Shellfish Pokemon,Mega,12,NULL,16,1011,Water,NULL,Mega Launcher,Powers up aura and pulse moves,NULL,NULL,NULL,NULL,NULL,NULL,875,125,70,X,Kalos,79,103,120,135,115,78,0,0,0,0,3,0,45,Medium Slow,1059860,284,Monster,Water 1,20,NULL,NULL
14,848,Toxel,Baby Pokemon,NULL,NULL,NULL,04,110,Electric,Poison,Rattled,Dark Ghost and Bugtype moves scare the Pokémon and boost its Speed stat,Static,The Pokémon is charged with static electricity so contact with it may cause paralysis,Klutz,The Pokémon cant use any held items,NULL,NULL,50,50,50,Sword,Galar,40,38,35,54,35,40,0,0,0,1,0,0,75,Medium Slow,1059860,48,Undiscovered,NULL,25,NULL,NULL
15,849,Toxtricity,Punk Pokemon,NULL,NULL,NULL,16,400,Electric,Poison,Punk Rock,Boosts the power of soundbased moves The Pokémon also takes half the damage from these kinds of moves,Plus,Boosts the Sp Atk stat of the Pokémon if an ally with the Plus or Minus Ability is also in battle,Technician,Powers up the Pokémons weaker moves,NULL,NULL,50,50,50,Sword,Galar,75,98,70,114,70,75,0,0,0,2,0,0,45,Medium Slow,1059860,176,HumanLike,NULL,25,14,Level 30 With An Adamant Brave Docile Hardy Hasty Impish Jolly Lax Naive Naughty Quirky Rash or Sassy Nature
16,849,Toxtricity,Punk Pokemon,Low Key,15,NULL,16,400,Electric,Poison,Punk Rock,Boosts the power of soundbased moves The Pokémon also takes half the damage from these kinds of moves,Minus,Boosts the Sp Atk stat of the Pokémon if an ally with the Plus or Minus Ability is also in battle,Technician,Powers up the Pokémons weaker moves,NULL,NULL,50,50,50,Sword,Galar,75,98,70,114,70,75,0,0,0,2,0,0,45,Medium Slow,1059860,176,HumanLike,NULL,25,14,Level 30 With A Bashful Bold Calm Careful Gentle Lonely Mild Modest Quiet Relaxed Serious or Timid Nature
17,30,Nidorina,Poison Pin Pokemon,NULL,NULL,NULL,08,200,Poison,NULL,Poison Point,Contact with the Pokémon may poison the attacker,Rivalry,Becomes competitive and deals more damage to Pokémon of the same gender but deals less to Pokémon of the opposite gender,Hustle,Boosts the Attack stat but lowers accuracy,NULL,NULL,0,100,70,Red,Kanto,70,62,67,55,55,56,2,0,0,0,0,0,120,Medium Slow,1059860,128,Undiscovered,NULL,20,33,Level 16
18,31,Nidoqueen,Drill Pokemon,NULL,NULL,NULL,13,600,Poison,Ground,Poison Point,Contact with the Pokémon may poison the attacker,Rivalry,Becomes competitive and deals more damage to Pokémon of the same gender but deals less to Pokémon of the opposite gender,Sheer Force,Removes additional effects to increase the power of moves when attacking,NULL,NULL,0,100,70,Red,Kanto,90,92,87,75,85,76,3,0,0,0,0,0,45,Medium Slow,1059860,227,Undiscovered,NULL,20,17,Moon Stone
19,392,Infernape,Flame Pokemon,NULL,NULL,NULL,12,550,Fire,Fighting,Blaze,Powers up Firetype moves when the Pokémons HP is low,NULL,NULL,Iron Fist,Powers up punching moves,NULL,NULL,875,125,70,Diamond,Sinnoh,76,104,71,104,71,108,0,1,0,1,0,1,45,Medium Slow,1059860,240,Field,HumanLike,20,35,Level 36
20,403,Shinx,Flash Pokemon,NULL,NULL,NULL,05,95,Electric,NULL,Rivalry,Becomes competitive and deals more damage to Pokémon of the same gender but deals less to Pokémon of the opposite gender,Intimidate,The Pokémon intimidates opposing Pokémon upon entering battle lowering their Attack stat,Guts,Its so gutsy that having a status condition boosts the Pokémons Attack stat,NULL,NULL,50,50,70,Diamond,Sinnoh,45,65,34,40,34,45,0,1,0,0,0,0,235,Medium Slow,1059860,53,Field,NULL,20,NULL,NULL
21,404,Luxio,Spark Pokemon,NULL,NULL,NULL,09,305,Electric,NULL,Rivalry,Becomes competitive and deals more damage to Pokémon of the same gender but deals less to Pokémon of the opposite gender,Intimidate,The Pokémon intimidates opposing Pokémon upon entering battle lowering their Attack stat,Guts,Its so gutsy that having a status condition boosts the Pokémons Attack stat,NULL,NULL,50,50,100,Diamond,Sinnoh,60,85,49,60,49,60,0,2,0,0,0,0,120,Medium Slow,1059860,127,Field,NULL,20,20,Level 15
22,405,Luxray,Gleam Eyes Pokemon,NULL,NULL,NULL,14,420,Electric,NULL,Rivalry,Becomes competitive and deals more damage to Pokémon of the same gender but deals less to Pokémon of the opposite gender,Intimidate,The Pokémon intimidates opposing Pokémon upon entering battle lowering their Attack stat,Guts,Its so gutsy that having a status condition boosts the Pokémons Attack stat,NULL,NULL,50,50,70,Diamond,Sinnoh,80,120,79,95,79,70,0,3,0,0,0,0,45,Medium Slow,1059860,235,Field,NULL,20,21,Level 30
23,11,Metapod,Cocoon Pokemon,NULL,NULL,NULL,07,99,Bug,NULL,Shed Skin,The Pokémon may heal its own status conditions by shedding its skin,NULL,NULL,NULL,NULL,NULL,NULL,50,50,70,Red,Kanto,50,20,55,25,25,30,0,0,2,0,0,0,120,Medium Fast,1000000,72,Bug,NULL,15,32,Level 7
24,12,Butterfree,Butterfly Pokemon,NULL,NULL,NULL,11,320,Bug,Flying,Compound Eyes,The Pokémons compound eyes boost its accuracy,NULL,NULL,Tinted Lens,The Pokémon can use not very effective moves to deal regular damage,NULL,NULL,50,50,70,Red,Kanto,60,45,50,90,80,70,0,0,0,2,1,0,45,Medium Fast,1000000,178,Bug,NULL,15,23,Level 10
25,679,Honedge,Sword Pokemon,NULL,NULL,NULL,08,20,Steel,Ghost,No Guard,The Pokémon employs noguard tactics to ensure incoming and outgoing attacks always land,NULL,NULL,NULL,NULL,NULL,NULL,50,50,70,X,Kalos,45,80,100,35,37,28,0,0,1,0,0,0,180,Medium Fast,1000000,65,Mineral,NULL,20,NULL,NULL
26,680,Doublade,Sword Pokemon,NULL,NULL,NULL,08,45,Steel,Ghost,No Guard,The Pokémon employs noguard tactics to ensure incoming and outgoing attacks always land,NULL,NULL,NULL,NULL,NULL,NULL,50,50,70,X,Kalos,59,110,150,45,49,35,0,0,2,0,0,0,90,Medium Fast,1000000,157,Mineral,NULL,20,25,Level 35
27,15,Beedrill,Poison Bee Pokemon,NULL,NULL,NULL,10,295,Bug,Poison,Swarm,Powers up Bugtype moves when the Pokémons HP is low,NULL,NULL,Sniper,Powers up moves if they become critical hits when attacking,NULL,NULL,50,50,70,Red,Kanto,65,90,40,45,80,75,0,2,0,0,1,0,45,Medium Fast,1000000,178,Bug,NULL,15,30,Level 10
28,15,Beedrill,Poison Bee Pokemon,Mega,27,NULL,14,405,Bug,Poison,Adaptability,Powers up moves of the same type as the Pokémon,NULL,NULL,NULL,NULL,NULL,NULL,50,50,70,Omega Ruby,Kalos,65,150,40,15,80,145,0,2,0,0,1,0,45,Medium Fast,1000000,223,Bug,NULL,15,NULL,NULL
29,132,Ditto,Transform Pokemon,NULL,NULL,NULL,03,40,Normal,NULL,Limber,Its limber body protects the Pokémon from paralysis,NULL,NULL,Imposter,The Pokémon transforms itself into the Pokémon its facing,NULL,NULL,0,0,70,Red,Kanto,48,48,48,48,48,48,1,0,0,0,0,0,35,Medium Fast,1000000,101,Ditto,NULL,20,NULL,NULL
30,14,Kakuna,Cocoon Pokemon,NULL,NULL,NULL,06,100,Bug,Poison,Shed Skin,The Pokémon may heal its own status conditions by shedding its skin,NULL,NULL,NULL,NULL,NULL,NULL,50,50,70,Red,Kanto,45,25,50,25,25,35,0,0,2,0,0,0,120,Medium Fast,1000000,72,Bug,NULL,15,31,Level 7
31,13,Weedle,Hairy Bug Pokemon,NULL,NULL,NULL,03,32,Bug,Poison,Shield Dust,This Pokémons dust blocks the additional effects of attacks taken,NULL,NULL,Run Away,Enables a sure getaway from wild Pokémon,NULL,NULL,50,50,70,Red,Kanto,40,35,30,20,20,50,0,0,0,0,0,1,255,Medium Fast,1000000,39,Bug,NULL,15,NULL,NULL
32,10,Caterpie,Worm Pokemon,NULL,NULL,NULL,03,29,Bug,NULL,Shield Dust,This Pokémons dust blocks the additional effects of attacks taken,NULL,NULL,Run Away,Enables a sure getaway from wild Pokémon,NULL,NULL,50,50,70,Red,Kanto,45,30,35,20,20,45,1,0,0,0,0,0,255,Medium Fast,1000000,39,Bug,NULL,15,NULL,NULL
33,29,Nidoran Female,Poison Pin Pokemon,NULL,NULL,NULL,04,70,Poison,NULL,Poison Point,Contact with the Pokémon may poison the attacker,Rivalry,Becomes competitive and deals more damage to Pokémon of the same gender but deals less to Pokémon of the opposite gender,Hustle,Boosts the Attack stat but lowers accuracy,NULL,NULL,0,100,70,Red,Kanto,55,47,52,40,40,41,1,0,0,0,0,0,235,Medium Slow,1059860,55,Monster,Field,20,NULL,NULL
34,390,Chimchar,Chimp Pokemon,NULL,NULL,NULL,05,62,Fire,NULL,Blaze,Powers up Firetype moves when the Pokémons HP is low,NULL,NULL,Iron Fist,Powers up punching moves,NULL,NULL,875,125,70,Diamond,Sinnoh,44,58,44,58,44,61,0,0,0,0,0,1,45,Medium Slow,1059860,62,Field,HumanLike,20,NULL,NULL
35,391,Monferno,Playful Pokemon,NULL,NULL,NULL,09,220,Fire,Fighting,Blaze,Powers up Firetype moves when the Pokémons HP is low,NULL,NULL,Iron Fist,Powers up punching moves,NULL,NULL,875,125,70,Diamond,Sinnoh,64,78,52,78,52,81,0,0,0,1,0,1,45,Medium Slow,1059860,142,Field,HumanLike,20,34,Level 14
36,489,Phione,Sea Drifter Pokemon,NULL,NULL,Mythical,04,31,Water,NULL,Hydration,Heals status conditions if its raining,NULL,NULL,NULL,NULL,NULL,NULL,0,0,70,Diamond,Sinnoh,80,80,80,80,80,80,1,0,0,0,0,0,30,Slow,1250000,216,Water 1,Fairy,40,NULL,NULL
37,490,Manaphy,Seafaring Pokemon,NULL,NULL,Mythical,03,14,Water,NULL,Hydration,Heals status conditions if its raining,NULL,NULL,NULL,NULL,NULL,NULL,0,0,70,Diamond,Sinnoh,100,100,100,100,100,100,3,0,0,0,0,0,3,Slow,1250000,270,Water 1,Fairy,10,NULL,NULL
38,891,Kubfu,Wushu Pokemon,NULL,NULL,SubLegendary,06,120,Fighting,NULL,Inner Focus,The Pokémons intensely focused and that protects the Pokémon from flinching,NULL,NULL,NULL,NULL,NULL,NULL,875,125,0,Sword,Galar,60,90,60,53,50,72,0,1,0,0,0,0,3,Slow,1250000,57,Undiscovered,NULL,120,NULL,NULL
39,892,Urshifu,Wushu Pokemon,NULL,NULL,SubLegendary,19,1050,Fighting,Dark,Unseen Fist,The Pokémon can deal damage with moves that make physical contact even if the target is protected,NULL,NULL,NULL,NULL,NULL,NULL,875,125,0,Sword,Galar,100,130,100,63,60,97,0,3,0,0,0,0,3,Slow,1250000,257,Undiscovered,NULL,120,38,Conquer the Tower of Darkness in Galars Isle of Armor
40,892,Urshifu,Wushu Pokemon,Rapid Strike,39,SubLegendary,19,1050,Fighting,Water,Unseen Fist,The Pokémon can deal damage with moves that make physical contact even if the target is protected,NULL,NULL,NULL,NULL,NULL,NULL,875,125,0,Sword,Galar,100,130,100,63,60,97,0,3,0,0,0,0,3,Slow,1250000,257,Undiscovered,NULL,120,38,Conquer the Tower of Waters in Galars Isle of Armor
41,898,Calyrex,King Pokemon,NULL,NULL,Legendary,11,77,Psychic,Grass,Unnerve,Unnerves opposing Pokémon and makes them unable to eat Berries,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,Sword,Galar,100,80,80,80,80,80,3,0,0,0,0,0,3,Slow,1250000,250,Undiscovered,NULL,120,NULL,NULL
42,151,Mew,New Species Pokemon,NULL,NULL,Mythical,04,40,Psychic,NULL,Synchronize,The attacker will receive the same status condition if it inflicts a burn poison or paralysis to the Pokémon,NULL,NULL,NULL,NULL,NULL,NULL,0,0,100,Red,Kanto,100,100,100,100,100,100,3,0,0,0,0,0,45,Medium Slow,1059860,270,Undiscovered,NULL,120,NULL,NULL
43,150,Mewtwo,Genetic Pokemon,NULL,NULL,Legendary,20,1220,Psychic,NULL,Pressure,By putting pressure on the opposing Pokémon it raises their PP usage,NULL,NULL,Unnerve,Unnerves opposing Pokémon and makes them unable to eat Berries,NULL,NULL,0,0,0,Red,Kanto,106,110,90,154,90,130,0,0,0,3,0,0,3,Slow,1250000,306,Undiscovered,NULL,120,NULL,NULL
44,150,Mewtwo,Genetic Pokemon,Mega X,43,Legendary,23,1270,Psychic,NULL,Steadfast,The Pokémons determination boosts the Speed stat each time the Pokémon flinches,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,X,Kalos,106,190,100,154,100,130,0,0,0,3,0,0,3,Slow,1250000,351,Undiscovered,NULL,120,NULL,NULL
45,150,Mewtwo,Genetic Pokemon,Mega Y,43,Legendary,15,330,Psychic,NULL,Insomnia,The Pokémon is suffering from insomnia and cannot fall asleep,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,X,Kalos,106,150,70,194,120,140,0,0,0,3,0,0,3,Slow,1250000,351,Undiscovered,NULL,120,NULL,NULL
46,81,Magnemite,Magnet Pokemon,NULL,NULL,NULL,03,60,Electric,Steel,Magnet Pull,Prevents Steeltype Pokémon from escaping using its magnetic force,Sturdy,It cannot be knocked out with one hit Onehit KO moves cannot knock it out either,Analytic,Boosts move power when the Pokémon moves last,NULL,NULL,0,0,70,Red,Kanto,25,35,70,95,55,45,0,0,0,1,0,0,190,Medium Fast,1000000,65,Mineral,NULL,20,NULL,NULL
47,100,Voltorb,Ball Pokemon,NULL,NULL,NULL,05,105,Electric,NULL,Soundproof,Soundproofing gives the Pokémon full immunity to all soundbased moves,Static,The Pokémon is charged with static electricity so contact with it may cause paralysis,Aftermath,Damages the attacker if it contacts the Pokémon with a finishing hit,NULL,NULL,0,0,70,Red,Kanto,40,30,50,55,55,100,0,0,0,0,0,1,190,Medium Fast,1000000,66,Mineral,NULL,20,NULL,NULL
48,32,Nidoran Male,Poison Pin Pokemon,NULL,NULL,NULL,05,90,Poison,NULL,Poison Point,Contact with the Pokémon may poison the attacker,Rivalry,Becomes competitive and deals more damage to Pokémon of the same gender but deals less to Pokémon of the opposite gender,Hustle,Boosts the Attack stat but lowers accuracy,NULL,NULL,100,0,70,Red,Kanto,46,57,40,40,40,50,0,1,0,0,0,0,235,Medium Slow,1059860,55,Monster,Field,20,NULL,NULL
49,33,Nidorino,Poison Pin Pokemon,NULL,NULL,NULL,09,195,Poison,NULL,Poison Point,Contact with the Pokémon may poison the attacker,Rivalry,Becomes competitive and deals more damage to Pokémon of the same gender but deals less to Pokémon of the opposite gender,Hustle,Boosts the Attack stat but lowers accuracy,NULL,NULL,100,0,70,Red,Kanto,61,72,57,55,55,65,0,2,0,0,0,0,120,Medium Slow,1059860,128,Monster,Field,20,48,Level 16
50,34,Nidoking,Drill Pokemon,NULL,NULL,NULL,14,620,Poison,Ground,Poison Point,Contact with the Pokémon may poison the attacker,Rivalry,Becomes competitive and deals more damage to Pokémon of the same gender but deals less to Pokémon of the opposite gender,Sheer Force,Removes additional effects to increase the power of moves when attacking,NULL,NULL,100,0,70,Red,Kanto,81,102,77,85,75,85,0,3,0,0,0,0,45,Medium Slow,1059860,227,Monster,Field,20,49,Moon Stone
51,173,Cleffa,Star Shape Pokemon,NULL,NULL,NULL,03,30,Fairy,NULL,Cute Charm,Contact with the Pokémon may cause infatuation,Magic Bounce,Reflects status moves instead of getting hit by them,Friend Guard,Reduces damage done to allies,NULL,NULL,25,75,140,Gold,Johto,50,25,28,45,55,15,0,0,0,0,1,0,150,Fast,800000,44,Undiscovered,NULL,10,NULL,NULL
52,35,Clefairy,Fairy Pokemon,NULL,NULL,NULL,06,75,Fairy,NULL,Cute Charm,Contact with the Pokémon may cause infatuation,Magic Guard,The Pokémon only takes damage from attacks,Friend Guard,Reduces damage done to allies,NULL,NULL,25,75,140,Red,Kanto,70,45,48,60,65,35,2,0,0,0,0,0,150,Fast,800000,113,Fairy,NULL,20,51,NULL
53,36,Clefable,Fairy Pokemon,NULL,NULL,NULL,13,400,Fairy,NULL,Cute Charm,Contact with the Pokémon may cause infatuation,Magic Guard,The Pokémon only takes damage from attacks,Unaware,When attacking the Pokémon ignores the target Pokémons stat changes,NULL,NULL,25,75,140,Red,Kanto,95,70,73,95,90,60,3,0,0,0,0,0,25,Fast,800000,217,Fairy,NULL,10,52,Moon Stone
54,37,Vulpix,Fox Pokemon,NULL,NULL,NULL,06,99,Fire,NULL,Flash Fire,Powers up the Pokémons Firetype moves if its hit by one,NULL,NULL,Drought,Turns the sunlight harsh when the Pokémon enters a battle,NULL,NULL,25,75,70,Red,Kanto,38,41,40,50,65,65,0,0,0,0,0,1,190,Medium Fast,1000000,60,Field,NULL,20,NULL,NULL
55,37,Vulpix,Fox Pokemon,Alola,54,NULL,06,99,Ice,NULL,Snow Cloak,Boosts evasiveness in a hailstorm,NULL,NULL,Snow Warning,The Pokémon summons a hailstorm when it enters a battle,NULL,NULL,25,75,70,Sun,Alola,38,41,40,50,65,65,0,0,0,0,0,1,190,Medium Fast,1000000,60,Field,NULL,20,NULL,NULL
56,38,Ninetales,Fox Pokemon,NULL,NULL,NULL,11,199,Fire,NULL,Flash Fire,Powers up the Pokémons Firetype moves if its hit by one,NULL,NULL,Drought,Turns the sunlight harsh when the Pokémon enters a battle,NULL,NULL,25,75,70,Red,Kanto,73,76,75,81,100,100,0,0,0,0,1,1,75,Medium Fast,1000000,177,Field,NULL,20,54,Fire Stone
57,38,Ninetales,Fox Pokemon,Alola,56,NULL,11,199,Ice,Fairy,Snow Cloak,Boosts evasiveness in a hailstorm,NULL,NULL,Snow Warning,The Pokémon summons a hailstorm when it enters a battle,NULL,NULL,25,75,70,Sun,Alola,73,67,75,81,100,109,0,0,0,0,0,2,75,Medium Fast,1000000,177,Field,NULL,20,55,Ice Stone
58,174,Igglybuff,Balloon Pokemon,NULL,NULL,NULL,03,10,Normal,Fairy,Cute Charm,Contact with the Pokémon may cause infatuation,Competitive,Boosts the Sp Atk stat sharply when a stat is lowered,Friend Guard,Reduces damage done to allies,NULL,NULL,25,75,70,Gold,Johto,90,30,15,40,20,15,1,0,0,0,0,0,170,Fast,800000,45,Undiscovered,NULL,10,NULL,NULL
59,39,Jigglypuff,Balloon Pokemon,NULL,NULL,NULL,05,55,Normal,Fairy,Cute Charm,Contact with the Pokémon may cause infatuation,Competitive,Boosts the Sp Atk stat sharply when a stat is lowered,Friend Guard,Reduces damage done to allies,NULL,NULL,25,75,70,Red,Kanto,115,45,20,45,25,20,2,0,0,0,0,0,170,Fast,800000,95,Fairy,NULL,10,58,NULL
60,40,Wigglytuff,Balloon Pokemon,NULL,NULL,NULL,10,120,Normal,Fairy,Cute Charm,Contact with the Pokémon may cause infatuation,Competitive,Boosts the Sp Atk stat sharply when a stat is lowered,Frisk,When it enters a battle the Pokémon can check an opposing Pokémons held item,NULL,NULL,25,75,70,Red,Kanto,140,70,45,85,50,45,3,0,0,0,0,0,50,Fast,800000,196,Fairy,NULL,10,59,Moon Stone
61,41,Zubat,Bat Pokemon,NULL,NULL,NULL,08,75,Poison,Flying,Inner Focus,The Pokémons intensely focused and that protects the Pokémon from flinching,NULL,NULL,Infiltrator,Passes through the opposing Pokémons barrier substitute and the like and strikes,NULL,NULL,50,50,70,Red,Kanto,40,45,35,30,40,55,0,0,0,0,0,1,255,Medium Fast,1000000,49,Flying,NULL,15,NULL,NULL
62,42,Golbat,Bat Pokemon,NULL,NULL,NULL,16,550,Poison,Flying,Inner Focus,The Pokémons intensely focused and that protects the Pokémon from flinching,NULL,NULL,Infiltrator,Passes through the opposing Pokémons barrier substitute and the like and strikes,NULL,NULL,50,50,70,Red,Kanto,75,80,70,65,75,95,0,0,0,0,0,2,90,Medium Fast,1000000,159,Flying,NULL,15,61,Level 22
63,169,Crobat,Bat Pokemon,NULL,NULL,NULL,18,750,Poison,Flying,Inner Focus,The Pokémons intensely focused and that protects the Pokémon from flinching,NULL,NULL,Infiltrator,Passes through the opposing Pokémons barrier substitute and the like and strikes,NULL,NULL,50,50,70,Gold,Johto,85,90,80,70,80,130,0,0,0,0,0,3,90,Medium Fast,1000000,241,Flying,NULL,15,62,NULL
64,43,Oddish,Weed Pokemon,NULL,NULL,NULL,05,54,Grass,Poison,Chlorophyll,Boosts the Pokémons Speed stat in harsh sunlight,NULL,NULL,Run Away,Enables a sure getaway from wild Pokémon,NULL,NULL,50,50,70,Red,Kanto,45,50,55,75,65,30,0,0,0,1,0,0,255,Medium Slow,1059860,64,Grass,NULL,20,NULL,NULL
65,44,Gloom,Weed Pokemon,NULL,NULL,NULL,08,86,Grass,Poison,Chlorophyll,Boosts the Pokémons Speed stat in harsh sunlight,NULL,NULL,Stench,By releasing stench when attacking this Pokémon may cause the target to flinch,NULL,NULL,50,50,70,Red,Kanto,60,65,70,85,75,40,0,0,0,2,0,0,120,Medium Slow,1059860,138,Grass,NULL,20,64,Level 21
66,45,Vileplume,Flower Pokemon,NULL,NULL,NULL,12,186,Grass,Poison,Chlorophyll,Boosts the Pokémons Speed stat in harsh sunlight,NULL,NULL,Effect Spore,Contact with the Pokémon may inflict poison sleep or paralysis on its attacker,NULL,NULL,50,50,70,Red,Kanto,75,80,85,110,90,50,0,0,0,3,0,0,45,Medium Slow,1059860,221,Grass,NULL,20,65,Leaf Stone
67,182,Bellossom,Flower Pokemon,NULL,NULL,NULL,04,58,Grass,NULL,Chlorophyll,Boosts the Pokémons Speed stat in harsh sunlight,NULL,NULL,Healer,Sometimes heals an allys status condition,NULL,NULL,50,50,70,Gold,Johto,75,80,95,90,100,50,0,0,0,0,3,0,45,Medium Slow,1059860,221,Grass,NULL,20,65,Sun Stone
68,46,Paras,Mushroom Pokemon,NULL,NULL,NULL,03,54,Bug,Grass,Effect Spore,Contact with the Pokémon may inflict poison sleep or paralysis on its attacker,Dry Skin,Restores HP in rain or when hit by Watertype moves Reduces HP in harsh sunlight and increases the damage received from Firetype moves,Damp,Prevents the use of explosive moves such as SelfDestruct by dampening its surroundings,NULL,NULL,50,50,70,Red,Kanto,35,70,55,45,55,25,0,1,0,0,0,0,190,Medium Fast,1000000,57,Bug,Grass,20,NULL,NULL
